Model,VIX_MA_1,VIX_MA_5,VIX_MA_10,VIX_MA_22,VIX_MA_66,Log_VIX_MA_1,Log_VIX_MA_5,Log_VIX_MA_10,Log_VIX_MA_22,Log_VIX_MA_66,SP500_MA_1,SP500_Log_Return_1,SP500_MA_5,SP500_MA_10,SP500_MA_22,SP500_MA_66,SP500_Log_Return_5,SP500_Log_Return_10,SP500_Log_Return_22,SP500_Log_Return_66,SP500_Volume_Change,Log_Oil_Price,USD_Change,Term_Spread
Model_21,0.7918535629858233,-0.21500978283327035,0.7995748286122857,-1.1702897745692307,0.6743160484872036,-5.312769160145117,3.638807485713171,-10.965891901441031,20.73819817605211,-7.254271337941829,2.480124320220296,-2.398620235413742,12.435002078159222,-20.42969527936991,29.283595712199194,-29.042464639895652,-12.251662557246156,20.352882662498086,-29.31969154604931,29.282278836936257,-0.04447434127164652,0.42342757330664793,-0.06678233290271407,-0.5682631016104366
Model_22,0.8009570661769007,-0.3000059287626162,0.85793631919957,-1.2136106709296046,0.7322227779741491,-6.006234362446838,5.836014516927121,-12.228651698466328,21.176479490005605,-7.9125145675365145,6.613715049922958,-6.532443657901517,9.71211979784167,-21.755264473418357,33.37414480218254,-31.43249058669046,-9.480561571327893,21.591646136028135,-33.38993332471292,31.67829816625025,-0.08096071737119183,0.431405801398467,-0.08588738946322469,-0.5929077043114297
Model_23,0.7162963126403976,-0.19155885691916946,0.7809790687237077,-1.2157446348662335,0.7846824669484916,-4.986194551882523,4.467621877022955,-10.840030261446845,20.686719968268953,-8.4427336753496,2.3853319183374437,-2.3309422590210285,6.886367627698354,-19.890001123927497,36.79855526427821,-33.726593087524385,-6.671429391281794,19.681051357403565,-36.7997003048521,33.97794187929118,0.02575207397046405,0.4363137081125847,-0.08487704048241583,-0.6176932685438826
Model_24,0.6113386228540354,0.009835232190217398,0.5708441759209818,-1.1425549303785798,0.8196357581360667,-2.9737850455415167,0.6001608806720022,-6.846126080484536,18.808855657600553,-8.664631548527462,-0.4339634131999972,0.4734986587184252,3.705290527365718,-16.44289149886522,38.8759574151942,-35.472195823481776,-3.5025783575659153,16.20142727246554,-38.881304751662896,35.73850930062132,0.02563223392508182,0.4387189294873558,-0.0900440924103951,-0.6379023927984382
Model_25,0.4189764309777929,0.32528703019640953,0.33043575293054156,-1.0889001616658185,0.8768584188671449,0.030761224424566136,-4.789157590303596,-2.0554545594303626,16.891534436606005,-9.107878793156,3.0621173607375147,-3.0081811941699375,-0.584522763829491,-13.986802487670252,42.7088191788924,-38.202193970729454,0.6913045955015593,13.79639193667419,-42.73587609513382,38.479295041444445,-0.037484588406454473,0.4366790087448368,-0.07902267588181648,-0.6592904438905852
Model_26,0.41187162815196277,0.41636543214447314,0.15220432812274962,-1.0360999593847753,0.9122528965517109,-0.3602480279060857,-6.5498427599625515,2.0736442831082353,15.054625481032003,-9.205454752478555,3.8998263193413156,-3.8199850866963576,-5.815729776497478,-9.674455855141245,45.34355592937345,-40.2850565129722,5.828932866213903,9.511946142781525,-45.38368049394633,40.583390704021355,-0.01516829934642223,0.4372693923496263,-0.08113260030465848,-0.6754007440932299
Model_27,0.4307845258587756,0.47910008309370333,-0.013807771870358851,-0.9950591833610087,0.9472161023915714,-0.48319308290900626,-8.471673305089476,6.025308018258238,13.288909437114855,-9.287737310892025,2.0572524105601193,-2.016408297689027,-6.0331826419119885,-10.183162271192813,49.28889958854764,-41.866699258794846,6.010747381251343,10.060766999084809,-49.36392089620489,42.17811391995139,-0.05467087751712447,0.4305140669222233,0.0028998925240903625,-0.6835141287256725
Model_28,0.45213900594066303,0.45331227575863564,-0.06659211867737486,-0.986017652485827,0.9804611481602615,-1.0643475075620972,-8.280386557256357,7.82303992319101,12.146319358290308,-9.44835918286196,-0.742482781948485,0.7654725017129811,-3.6938807531057853,-11.273596273515095,52.5492717515448,-42.63518702656312,3.636432336691144,11.210211180480043,-52.67603207802752,42.96878186187024,0.03882315552013196,0.4247207709134087,-0.030085564358437476,-0.6927632036655179
Model_29,0.48817760812170313,0.3193579660635509,0.006034047193900903,-1.0243656682320648,1.029681089468489,-1.2870508097863143,-6.7374668059804605,7.404601887391368,11.774215381568773,-9.877163843754278,-2.902553809823995,2.91940687177606,-0.5025499414663236,-12.639699060184226,56.06760682862452,-43.74762804919475,0.4164490243548418,12.634068455546865,-56.22813802266562,44.09265829956861,0.028930121826597738,0.41710995299514997,-0.03798541069908637,-0.7030693056754717
Model_30,0.5998868073460463,0.06198798916549148,0.10815950605491825,-1.048744452506248,1.0830520983366685,-3.73929130269355,-1.55543936915473,5.317638359339357,11.604804695238338,-10.248727883655626,-4.014280059821259,4.0239039877381755,0.3722003769658272,-12.923584394348802,60.725149723811576,-45.504816405026524,-0.4015979235287912,12.901541831780827,-60.9512681266979,45.876797883079185,-0.03460132940326013,0.4088396422954544,-0.0266836468917743,-0.7154914487066489
Model_31,0.6918304359251276,-0.16426924247066474,0.21718081313178383,-1.098766008778021,1.1480635244091348,-5.868111154128528,3.8680610520993275,2.135304368728958,12.236743912809356,-10.920558275771592,-2.720801255164346,2.730476304767595,1.052239221778187,-12.465166852348734,64.30484448306832,-47.60306407627277,-1.028932791264312,12.46629023496959,-64.59057408270392,47.9991991502461,-0.03052159790244135,0.40956530704020605,-0.05559413558714303,-0.7285881881473583
Model_32,0.6415219320246495,-0.17773097479804614,0.23623678038149418,-1.1135695635855152,1.1990747170590323,-4.61680756286023,4.782962043961145,0.22863477696752454,12.573921485304552,-11.457532871562954,0.31588503600038864,-0.29608290651683644,-2.7688050390005756,-9.439217218138056,65.68475542102797,-48.73560862553037,2.8475646960014354,9.468728179899436,-66.0586073073036,49.152687395563326,-0.051024024263076395,0.4085374399107602,-0.0739180971490343,-0.741491604652378
Model_33,0.4814518638704596,-0.014037416158522761,0.20249887583747772,-1.1580559581360845,1.266703288800138,-2.1084812399018054,3.7187269975312267,-1.2034095755478924,13.321454784778862,-12.167912708065504,2.118942420111478,-2.1714290170778527,-3.3283182363538764,-10.182439416274844,68.89258699952873,-50.45127585858794,3.4618580283752998,10.296662549885774,-69.3889533694891,50.88187818130778,0.03015525175229501,0.40791532942128056,-0.06318275853688873,-0.756408198490477
Model_34,0.3891084975535082,0.10592426001021991,0.15539526305178586,-1.1866606658557322,1.3071073432308942,-0.26134549440747296,2.471895100423316,-1.9371460389398856,13.816255195758806,-12.475050416123215,0.742187835671366,-0.7529204564269957,-2.0586698080805883,-11.798356544462422,70.08137689494068,-50.77873180266511,2.2207490992137995,11.995598694116318,-70.69446001865211,51.204515569889296,-0.021293610597411836,0.4036406018692539,-0.07773130575125574,-0.773271467584936
